,surah_name_ar,surah_name_roman,total_ayah_surah
0,الفاتحة,Al-Fatihah,7
1,البقرة,Al-Baqarah,286
2,آل عمران,Ali 'Imran,200
3,النساء,An-Nisa,176
4,المائدة,Al-Ma'idah,120
5,الأنعام,Al-An'am,165
6,الأعراف,Al-A'raf,206
7,الأنفال,Al-Anfal,75
8,التوبة,At-Tawbah,129
9,يونس,Yunus,109
10,هود,Hud,123
11,يوسف,Yusuf,111
12,الرعد,Ar-Ra'd,43
13,ابراهيم,Ibrahim,52
14,الحجر,Al-Hijr,99
15,النحل,An-Nahl,128
16,الإسراء,Al-Isra,111
17,الكهف,Al-Kahf,110
18,مريم,Maryam,98
19,طه,Taha,135
20,الأنبياء,Al-Anbya,112
21,الحج,Al-Hajj,78
22,المؤمنون,Al-Mu'minun,118
23,النور,An-Nur,64
24,الفرقان,Al-Furqan,77
25,الشعراء,Ash-Shu'ara,227
26,النمل,An-Naml,93
27,القصص,Al-Qasas,88
28,العنكبوت,Al-'Ankabut,69
29,الروم,Ar-Rum,60
30,لقمان,Luqman,34
31,السجدة,As-Sajdah,30
32,الأحزاب,Al-Ahzab,73
33,سبإ,Saba,54
34,فاطر,Fatir,45
35,يس,Ya-Sin,83
36,الصافات,As-Saffat,182
37,ص,Sad,88
38,الزمر,Az-Zumar,75
39,غافر,Ghafir,85
40,فصلت,Fussilat,54
41,الشورى,Ash-Shuraa,53
42,الزخرف,Az-Zukhruf,89
43,الدخان,Ad-Dukhan,59
44,الجاثية,Al-Jathiyah,37
45,الأحقاف,Al-Ahqaf,35
46,محمد,Muhammad,38
47,الفتح,Al-Fath,29
48,الحجرات,Al-Hujurat,18
49,ق,Qaf,45
50,الذاريات,Adh-Dhariyat,60
51,الطور,At-Tur,49
52,النجم,An-Najm,62
53,القمر,Al-Qamar,55
54,الرحمن,Ar-Rahman,78
55,الواقعة,Al-Waqi'ah,96
56,الحديد,Al-Hadid,29
57,المجادلة,Al-Mujadila,22
58,الحشر,Al-Hashr,24
59,الممتحنة,Al-Mumtahanah,13
60,الصف,As-Saf,14
61,الجمعة,Al-Jumu'ah,11
62,المنافقون,Al-Munafiqun,11
63,التغابن,At-Taghabun,18
64,الطلاق,At-Talaq,12
65,التحريم,At-Tahrim,12
66,الملك,Al-Mulk,30
67,القلم,Al-Qalam,52
68,الحاقة,Al-Haqqah,52
69,المعارج,Al-Ma'arij,44
70,نوح,Nuh,28
71,الجن,Al-Jinn,28
72,المزمل,Al-Muzzammil,20
73,المدثر,Al-Muddaththir,56
74,القيامة,Al-Qiyamah,40
75,الانسان,Al-Insan,31
76,المرسلات,Al-Mursalat,50
77,النبإ,An-Naba,40
78,النازعات,An-Nazi'at,46
79,عبس,Abasa,42
80,التكوير,At-Takwir,29
81,الإنفطار,Al-Infitar,19
82,المطففين,Al-Mutaffifin,36
83,الإنشقاق,Al-Inshiqaq,25
84,البروج,Al-Buruj,22
85,الطارق,At-Tariq,17
86,الأعلى,Al-A'la,19
87,الغاشية,Al-Ghashiyah,26
88,الفجر,Al-Fajr,30
89,البلد,Al-Balad,20
90,الشمس,Ash-Shams,15
91,الليل,Al-Layl,21
92,الضحى,Ad-Duhaa,11
93,الشرح,Ash-Sharh,8
94,التين,At-Tin,8
95,العلق,Al-'Alaq,19
96,القدر,Al-Qadr,5
97,البينة,Al-Bayyinah,8
98,الزلزلة,Az-Zalzalah,8
99,العاديات,Al-'Adiyat,11
100,القارعة,Al-Qari'ah,11
101,التكاثر,At-Takathur,8
102,العصر,Al-'Asr,3
103,الهمزة,Al-Humazah,9
104,الفيل,Al-Fil,5
105,قريش,Quraysh,4
106,الماعون,Al-Ma'un,7
107,الكوثر,Al-Kawthar,3
108,الكافرون,Al-Kafirun,6
109,النصر,An-Nasr,3
110,المسد,Al-Masad,5
111,الإخلاص,Al-Ikhlas,4
112,الفلق,Al-Falaq,5
113,الناس,An-Nas,6
